name,full_text,protasis,apodosis,witnesses,animal
"""24.14""","If a snake goes out from a man’s house towards the gate – a rich man will become poor, a commoner will be well.",If a snake goes out from a man’s house towards the gate," a rich man will become poor, a commoner will be well.","['K 02682+', 'VAT 10481+.2']",snake
"""24.15""","If a snake takes something out from a man’s house towards the gate – loss will go out of the man’s house, a mortally ill person will die in the man’s house.",If a snake takes something out from a man’s house towards the gate," loss will go out of the man’s house, a mortally ill person will die in the man’s house.","['K 02682+', 'VAT 10481+.2']",snake
"""24.16""",If a snake takes something up from the door and enters a man’s house – income will enter the man’s house.,If a snake takes something up from the door and enters a man’s house,income will enter the man’s house.,"['K 02682+', 'VAT 10481+.2']",snake
"""23.35""","If a snake falls between the master of the house, the lady of the house, the children of the house, the male and female servants where they are gathered – the master of the house will die and the house will be dispersed.","If a snake falls between the master of the house, the lady of the house, the children of the house, the male and female servants where they are gathered ",the master of the house will die and the house will be dispersed.,"['A 0453+', 'A 0453+', 'BM 041232', 'BM 041232', 'K 02925+', 'VAT 10523+.2']",snake
"""23.36""",If a snake falls onto female weavers and gets them agitated – that garment will not be torn. Ditto – that garment will be torn out of unhappiness.,If a snake falls onto female weavers and gets them agitated,that garment will not be torn. Ditto – that garment will be torn out of unhappiness.,"['A 0453+', 'A 0453+', 'BM 041232', 'BM 041232', 'K 02925+', 'VAT 10523+.2']",snake
"""23.37""","If a snake falls onto female weavers and enters inside of the thread – those female weavers will die within three months. Ditto – a strong attack, that garment will be torn out of unhappiness.",If a snake falls onto female weavers and enters inside of the thread," those female weavers will die within three months. Ditto – a strong attack, that garment will be torn out of unhappiness.","['A 0453+', 'A 0453+', 'BM 041232', 'BM 041232', 'K 02925+', 'VAT 10523+.2', 'VAT 10523+.2']",snake
"""23.38""",If a snakes falls onto female weavers and enters inside of that garment – his heart will be happy in that month.,If a snakes falls onto female weavers and enters inside of that garment,his heart will be happy in that month.,"['A 0453+', 'A 0453+', 'K 02925+']",snakes
"""23.39""",If a snake falls between them on a man’s chair and lies down on it – the owner of the chair will have a life-giving spirit in every circumstance.,If a snake falls between them on a man’s chair and lies down on it,the owner of the chair will have a life-giving spirit in every circumstance.,"['A 0453+', 'A 0453+', 'A 0453+', 'K 02925+', 'K 02925+']",snake
"""23.40""",If a snake repeatedly falls in a man’s house – a mortally ill person will die in the man’s house.,If a snake repeatedly falls in a man’s house,a mortally ill person will die in the man’s house.,"['A 0453+', 'A 0453+', 'K 02925+', 'VAT 10523+.2']",snake
"""23.41""",If a snake slithers around in a man’s house – abandonment of the house.,If a snake slithers around in a man’s house,abandonment of the house.,"['A 0453+', 'A 0453+', 'VAT 10523+.2']",snake
"""23.42""",If a snake crosses a man’s path in a man’s house – the name of that man is rejected owing to sin.,If a snake crosses a man’s path in a man’s house,the name of that man is rejected owing to sin.,"['A 0453+', 'A 0453+', 'A 0453+']",snake
"""23.43""",If a snake frightens people in a man’s house where they are sitting – among them ...  .,If a snake frightens people in a man’s house where they are sitting,among them ...  .,"['A 0453+', 'K 13965+']",snake
"""23.44""",If a snake is continuously standing in a man’s house – an oath will grab that man; same protasis: the hand of his god will take hold of the man.,If a snake is continuously standing in a man’s house,an oath will grab that man; same protasis: the hand of his god will take hold of the man.,"['A 0453+', 'A 0453+', 'VAT 10523+.2']",snake
"""23.45""",If a snake goes up and down a wall in a man’s house – that house will be dispersed or .,If a snake goes up and down a wall in a man’s house,that house will be dispersed or .,"['A 0453+', 'A 0453+', 'A 0453+']",snake
"""23.47""",If a snake falls in a man’s house and slithers around – that man will die.,If a snake falls in a man’s house and slithers around,that man will die.,"['A 0453+', 'A 0453+']",snake
"""23.48""",If a snake repeatedly takes something out of a man’s house – ... will go out.,If a snake repeatedly takes something out of a man’s house,... will go out.,"['A 0453+', 'A 0453+', 'A 0453+']",snake
"""23.49""",If a snake defecates in a man’s house – ... ...  will not prosper.,If a snake defecates in a man’s house,... ...  will not prosper.,"['A 0453+', 'VAT 10523+.2']",snake
"""23.50""",If a snake sickly hisses in a man’s house – they will continually have sexual intercourse with the man’s wife.,If a snake sickly hisses in a man’s house,they will continually have sexual intercourse with the man’s wife.,"['A 0453+', 'A 0453+', 'K 13965+']",snake
"""23.12""",If a snake constantly and continually obstructs a man’s path – his regular offerings will lessen.,If a snake constantly and continually obstructs a man’s path,his regular offerings will lessen.,"['A 0453+', 'A 0453+', 'K 02925+', 'K 02925+', 'SU 51/49+', 'SU 51/49+', 'VAT 10481+.1', 'VAT 10481+.1', 'VAT 10523+.2', 'VAT 10805']",snake
"""23.13""",If a snake goes wild and circles around a man – that man’s god will always lead him to good fortune.,If a snake goes wild and circles around a man,that man’s god will always lead him to good fortune.,"['A 0453+', 'K 02925+', 'SU 51/49+', 'VAT 10481+.1', 'VAT 10481+.1', 'VAT 10805']",snake
"""23.14""",If a snake hisses at a man – this means that evil will manifest itself and will affect him.,If a snake hisses at a man,this means that evil will manifest itself and will affect him.,"['A 0453+', 'A 0453+', 'K 02925+', 'K 02925+', 'VAT 10481+.1', 'VAT 10481+.1', 'VAT 10481+.1', 'VAT 10805']",snake
"""23.15""","If a snake becomes excessively aggressive towards a man, attacks him and bites him – though finding himself in dire straits, that man will overcome his adversary.","If a snake becomes excessively aggressive towards a man, attacks him and bites him "," though finding himself in dire straits, that man will overcome his adversary.","['A 0453+', 'K 02925+', 'VAT 10481+.1', 'VAT 10805']",snake
"""23.16""",If a snake crosses from a man’s right to the man’s left – he will have a good reputation.,If a snake crosses from a man’s right to the man’s left,he will have a good reputation.,"['A 0453+', 'K 02925+', 'VAT 10481+.1', 'VAT 10805']",snake
"""23.17""",If a snake crosses from a man’s left to a man’s right – his reputation will be cleared of evil.,If a snake crosses from a man’s left to a man’s right,his reputation will be cleared of evil.,"['A 0453+', 'A 0453+', 'K 02925+', 'K 02925+', 'VAT 10481+.1', 'VAT 10805']",snake
"""23.18""","If a man tramples on a snake’s head and then turns to the right – he will be thrown into prison for three years, but he will make his god turn back to him and he will survive. Ditto – hard imprisonment will obstruct the man’s path but he will continually seek out Marduk and his sign will pass him by.",If a man tramples on a snake’s head and then turns to the right," he will be thrown into prison for three years, but he will make his god turn back to him and he will survive. Ditto – hard imprisonment will obstruct the man’s path but he will continually seek out Marduk and his sign will pass him by.","['A 0453+', 'A 0453+', 'K 02925+', 'K 02925+', 'VAT 10481+.1', 'VAT 10481+.1', 'VAT 10523+.2', 'VAT 10805']",man
"""23.19""","If a man tramples on a snake’s head and then turns to the left – he will be able to breath freely being delivered from misery and hardship, he will experience good fortune.",If a man tramples on a snake’s head and then turns to the left," he will be able to breath freely being delivered from misery and hardship, he will experience good fortune.","['A 0453+', 'K 02925+', 'K 02925+', 'VAT 10481+.1', 'VAT 10523+.2']",man
"""23.20""",If a snake falls and thereby frightens a man and then the snake cries out – the hand of evil will take hold of that man.,If a snake falls and thereby frightens a man and then the snake cries out,the hand of evil will take hold of that man.,"['A 0453+', 'A 0453+', 'K 02925+', 'SU 51/49+', 'SU 51/49+']",snake
"""23.107""",If a snake lies down on a man's bed – his god will let that man acquire offspring.,If a snake lies down on a man's bed,his god will let that man acquire offspring.,"['A 0453+', 'K 02925+', 'VAT 10481+.2']",snake
"""23.108""",If a snake falls onto the bed of a man and a woman – an evil uprising will attack him : he will go into exile.,If a snake falls onto the bed of a man and a woman,an evil uprising will attack him : he will go into exile.,"['A 0453+', 'K 02925+', 'K 02925+', 'VAT 10481+.2']",snake
"""23.109""",If a snake falls onto a man and a woman – the man and the woman will leave each other.,If a snake falls onto a man and a woman,the man and the woman will leave each other.,"['A 0453+', 'K 02925+', 'VAT 10481+.2']",snake
"""23.110""",If a snake falls onto a man and woman and thereby separates them – ditto the man and woman will leave each other.,If a snake falls onto a man and woman and thereby separates them,ditto the man and woman will leave each other.,"['A 0453+', 'VAT 10481+.2']",snake
"""23.111""",If a snake is thrown onto a man and a woman and thereby separates them – the man and the woman will leave each other.,If a snake is thrown onto a man and a woman and thereby separates them,the man and the woman will leave each other.,"['A 0453+', 'VAT 10481+.2']",snake
"""23.112""",If a snake falls onto a man and a woman – the man and the woman will separate.,If a snake falls onto a man and a woman,the man and the woman will separate.,"['A 0453+', 'VAT 10481+.2']",snake
"""23.113""",If a snake falls onto a man and a woman sitting together all day and thereby separates them – they will separate.,If a snake falls onto a man and a woman sitting together all day and thereby separates them,they will separate.,"['A 0453+', 'A 0453+', 'VAT 10481+.2', 'VAT 10481+.2', 'VAT 10481+.2']",snake
"""23.114""","If a snake falls behind a man and a woman where they are sitting as companions and they see it – the man and the woman, who are companions, will separate.",If a snake falls behind a man and a woman where they are sitting as companions and they see it," the man and the woman, who are companions, will separate.","['A 0453+', 'VAT 10481+.2']",snake
"""23.26""",If a snake has a paw like a lion and roars like a lion – there will be a catastrophe in the land.,If a snake has a paw like a lion and roars like a lion,there will be a catastrophe in the land.,"['A 0453+', 'A 0453+', 'K 02925+', 'SU 51/49+']",snake
"""23.27""",If a snake falls between a man and a woman – they will part either ina ... ... or in hate.,If a snake falls between a man and a woman,they will part either ina ... ... or in hate.,"['A 0453+', 'A 0453+', 'K 02925+', 'SU 51/49+', 'VAT 10523+.2']",snake
"""23.28""",If a snake falls between a man and a woman but does not get out and they kill it – its evil is released.,If a snake falls between a man and a woman but does not get out and they kill it,its evil is released.,"['A 0453+', 'A 0453+', 'K 02925+', 'K 02925+', 'K 09130+.1+.2', 'SU 51/49+', 'VAT 10523+.2']",snake
"""23.29""","If a snake falls between husband and wife – partners will divide their assets, husband and wife will leave each other and die.",If a snake falls between husband and wife," partners will divide their assets, husband and wife will leave each other and die.","['A 0453+', 'A 0453+', 'A 0453+', 'K 02925+', 'K 09130+.1+.2', 'K 09130+.1+.2', 'SU 51/49+']",snake
"""23.30""",If a snake falls between husband and wife and does not go away ...  – an interruption of his peace will be his lot.,If a snake falls between husband and wife and does not go away ...,an interruption of his peace will be his lot.,"['A 0453+', 'A 0453+', 'A 0453+', 'K 02925+', 'K 02925+', 'K 09130+.1+.2', 'SU 51/49+']",snake
"""23.31""",If a snake falls between a man and a woman where they are sitting or standing and they see it – they will leave each other and the man will be well.,If a snake falls between a man and a woman where they are sitting or standing and they see it,they will leave each other and the man will be well.,"['A 0453+', 'A 0453+', 'BM 041232', 'BM 041232', 'K 02925+', 'K 02925+', 'VAT 10523+.2']",snake
"""23.32""",If a snake is continuously seen where a man and a woman are sitting and constantly talking and they feel constantly oppressed – they will leave each other.,If a snake is continuously seen where a man and a woman are sitting and constantly talking and they feel constantly oppressed,they will leave each other.,"['A 0453+', 'A 0453+', 'BM 041232', 'K 02925+']",snake
"""23.33""",If a snake falls where a man and a woman are standing and they see it – they will leave each other and the man will live well.,If a snake falls where a man and a woman are standing and they see it,they will leave each other and the man will live well.,"['A 0453+', 'A 0453+', 'BM 041232', 'BM 041232', 'K 02925+']",snake
"""23.34""",If a snake is seen where a man and a woman are sitting and talking – the man and the woman will split and divorce.,If a snake is seen where a man and a woman are sitting and talking,the man and the woman will split and divorce.,"['A 0453+', 'A 0453+', 'BM 041232', 'K 02925+']",snake
"""23.1""",If a snake falls on top of a man who is litigating – his lawsuit will be long.,If a snake falls on top of a man who is litigating,his lawsuit will be long.,"['K 02925+', 'K 02935+.1', 'K 09130+.1', 'K 09130+.1', 'SU 51/49+', 'SU 51/49+', 'VAT 10523+.2']",snake
"""23.2""","If a snake falls on top of a man who is litigating, but his lawsuit is already dragging on – his lawsuit will be settled.","If a snake falls on top of a man who is litigating, but his lawsuit is already dragging on ",his lawsuit will be settled.,"['K 02925+', 'K 02935+.1', 'K 02935+.1', 'K 09130+.1', 'SU 51/49+', 'VAT 10523+.2']",snake
"""23.3""",If a snake hisses and falls onto a man who is litigating – his adversary will supplicate him.,If a snake hisses and falls onto a man who is litigating,his adversary will supplicate him.,"['K 02925+', 'K 02935+.1', 'K 02935+.1', 'K 09130+.1', 'SU 51/49+', 'SU 51/49+', 'VAT 10481+.1', 'VAT 10523+.2']",snake
"""23.4""",If a snake falls onto a man who is being thrown into prison – that man will come out of prison; that man: his mind will be at peace.,If a snake falls onto a man who is being thrown into prison,that man will come out of prison; that man: his mind will be at peace.,"['K 02925+', 'K 02935+.1', 'SU 51/49+', 'SU 51/49+', 'VAT 10481+.1', 'VAT 10523+.2']",snake
"""23.6""",If a snake hisses and bites a man who is litigating – ditto his adversary will supplicate him.,If a snake hisses and bites a man who is litigating,ditto his adversary will supplicate him.,"['K 02925+', 'K 02925+', 'SU 51/49+', 'SU 51/49+', 'VAT 10481+.1', 'VAT 10523+.2']",snake
"""23.7""",If a snake hisses and frightens a man – illness will afflict him ...; that man: the hand will take hold of him.,If a snake hisses and frightens a man,illness will afflict him ...; that man: the hand will take hold of him.,"['K 02925+', 'SU 51/49+', 'VAT 10481+.1']",snake
"""23.8""","If a snake stares at a man on a holiday – worry, unhappiness for the man ....",If a snake stares at a man on a holiday," worry, unhappiness for the man ....","['A 0453+', 'A 0453+', 'K 02925+', 'K 02925+', 'SU 51/49+', 'SU 51/49+', 'VAT 10481+.1']",snake
"""23.8""",If a snake sees a man on a holiday – trouble; it will not be happy;  for the man; the hand of a god will affect that man.,If a snake sees a man on a holiday,trouble; it will not be happy;  for the man; the hand of a god will affect that man.,"['A 0453+', 'A 0453+', 'K 02925+', 'K 02925+', 'SU 51/49+', 'SU 51/49+', 'VAT 10481+.1']",snake
"""23.9""","If a snake stares at a man and he kills it – his fears will not touch that man, that snake took its evil away.",If a snake stares at a man and he kills it," his fears will not touch that man, that snake took its evil away.","['A 0453+', 'A 0453+', 'K 02925+', 'SU 51/49+', 'SU 51/49+', 'VAT 10481+.1', 'VAT 10523+.2']",snake
"""23.10""","If a snake stares at a man and scares him, so that the man tramples on its head and is afraid of the snake – loss of grain but that man will appease Marduk  and he will be well, he will experience good fortune.","If a snake stares at a man and scares him, so that the man tramples on its head and is afraid of the snake "," loss of grain but that man will appease Marduk  and he will be well, he will experience good fortune.","['A 0453+', 'K 02925+', 'SU 51/49+', 'VAT 10481+.1', 'VAT 10523+.2']",snake
"""23.10""","If a snake sees a man and frightens him and he tramples its head and it thrashes about – loss of grain; Marduk will care for that man, and it will be good; he will experience good fortune.",If a snake sees a man and frightens him and he tramples its head and it thrashes about," loss of grain; Marduk will care for that man, and it will be good; he will experience good fortune.","['A 0453+', 'K 02925+', 'SU 51/49+', 'VAT 10481+.1', 'VAT 10523+.2']",snake
"""23.11""","If a snake falls from above onto a man’s leg – a mortally ill person will die in the man’s house, the master of that house will experience misery and then he will die.",If a snake falls from above onto a man’s leg," a mortally ill person will die in the man’s house, the master of that house will experience misery and then he will die.","['A 0453+', 'A 0453+', 'K 02925+', 'SU 51/49+', 'VAT 10481+.1', 'VAT 10805']",snake
"""23.84""",If a snake is always lying crosswise in a man’s house – that man will experience illness.,If a snake is always lying crosswise in a man’s house,that man will experience illness.,"['A 0453+', 'BM 041232', 'K 02925+', 'K 02925+', 'VAT 10481+.2', 'VAT 10481+.2']",snake
"""23.85""",If a snake  is seen in a man’s house –  will be in order.,If a snake  is seen in a man’s house,will be in order.,"['A 0453+', 'BM 041232', 'K 02925+', 'VAT 10481+.2']",snake
"""23.86""",If a snake ... is seen in a man’s house – calamity.,If a snake ... is seen in a man’s house,calamity.,"['A 0453+', 'BM 041232', 'K 02010', 'K 02925+', 'VAT 10481+.2']",snake
"""23.87""",If a red snake is seen in a man’s house – that man will become rich.,If a red snake is seen in a man’s house,that man will become rich.,"['A 0453+', 'BM 041232', 'K 02010', 'K 02925+', 'VAT 10481+.2']",snake
"""23.88""",If a seven-headed snake is seen in a man’s house – the master of that house will achieve the highest rank.,If a seven-headed snake is seen in a man’s house,the master of that house will achieve the highest rank.,"['A 0453+', 'BM 041232', 'K 02010', 'K 02010', 'K 02925+', 'VAT 10481+.2']",snake
"""23.89""",If a snake gives birth in a man’s abandoned house – he will inhabite again that house.,If a snake gives birth in a man’s abandoned house,he will inhabite again that house.,"['A 0453+', 'BM 041232', 'K 02010', 'K 02010', 'K 02925+', 'VAT 10481+.2']",snake
"""23.90""",If a snake is seen in a man’s abandoned house – ditto he will inhabite again that house.,If a snake is seen in a man’s abandoned house,ditto he will inhabite again that house.,"['A 0453+', 'BM 041232', 'K 02925+', 'K 02925+', 'VAT 10481+.2']",snake
"""23.91""",If a snake enters a man’s abandoned house – ditto he will inhabite again that house.,If a snake enters a man’s abandoned house,ditto he will inhabite again that house.,"['A 0453+', 'BM 041232', 'BM 041232', 'K 02925+', 'VAT 10481+.2', 'VAT 10481+.2']",snake
"""23.92""",If a snake kills a man in a man’s house – that man will flee. Ditto – his potency will be taken away.,If a snake kills a man in a man’s house,that man will flee. Ditto – his potency will be taken away.,"['A 0453+', 'A 0453+', 'BM 041232', 'K 02925+', 'VAT 10481+.2', 'VAT 10481+.2']",snake
"""33.8""",If a gecko – the owner of the house,If a gecko  ditto,the owner of the house,['BM 38418'],gecko
"""33.9""",If a gecko – the owner of that house,if a gecko   ditto,the owner of that house,['BM 38418'],gecko
"""33.10""",If a gecko  a man – the owner of that house,if a gecko  a man ditto,the owner of that house,['BM 38418'],gecko
"""33.11""",if geckos  go out  – that house,if geckos  go out,that house,['BM 38418'],gecko
"""33.13""",if geckos climb up the wall in the house of a man – the house,if geckos climb up the wall in the house of a man,the house,"['K 06527+', 'BM 38418']",gecko
"""33.15""",If geckos in a man's house go out from the house to the door – the owner of that house will  a food offering.,If geckos in a man's house go out from the house to the door,the owner of that house will  a food offering.,"['K 06527+', 'BM 38418', 'BM 98896']",geckos
"""33.16""",If geckos in the house of a man go in from the doorway to the house – the owner of that house  a son.,If geckos in the house of a man go in from the doorway to the house,the owner of that house  a son.,"['K 06527+', 'BM 38418', 'BM 98896']",gecko
"""33.17""",If geckos in a man's house climb up from the ground to the roof – the owner of that house will reach the highest position.,If geckos in a man's house climb up from the ground to the roof,the owner of that house will reach the highest position.,"['K 06527+', 'BM 38418', 'BM 98896', 'K 10792']",gecko
"""33.18""",If geckos in a man's house climb down from the roof to the ground – he will escape from hardship.,If geckos in a man's house climb down from the roof to the ground,he will escape from hardship.,"['K 06527+', 'BM 38418', 'BM 98896', 'K 10792']",gecko
"""33.19""",If a white ditto  is seen in the house of a man – hardship will afflict the owner of the house.,If a white ditto  is seen in the house of a man,hardship will afflict the owner of the house.,"['K 06527+', 'BM 38418', 'BM 98896', 'K 10792', 'K 09057']",gecko
"""33.20""",If a red gecko is seen in the house of a man – the owner of that house will continue to prosper.,If a red ditto is seen in the house of a man,the owner of that house will continue to prosper.,"['K 06527+', 'BM 38418', 'BM 98896', 'K 09057', 'K 10792']",gecko
"""24.17""",If a snake holds something in its mouth and enters a man’s house – his lost property will be confiscated.,If a snake holds something in its mouth and enters a man’s house,his lost property will be confiscated.,"['K 02682+', 'K 02682+', 'K 06940+.1', 'VAT 10481+.2', 'VAT 10481+.2']",snake
"""24.18""",If a snake holds a second snake in its mouth and enters a man’s house – income will enter the man’s house.,If a snake holds a second snake in its mouth and enters a man’s house,income will enter the man’s house.,"['K 02682+', 'K 06940+.1', 'VAT 10481+.2']",snake
"""24.19""","If a dead snake, of which half is eaten, is hangig from a falcon's mouth and falls onto a man's house – the master of that house will die, that house will be dispersed; its sacking; that house, its estate: the palace will confiscate it.","If a dead snake, of which half is eaten, is hangig from a falcon's mouth and falls onto a man's house "," the master of that house will die, that house will be dispersed; its sacking; that house, its estate: the palace will confiscate it.","['K 02682+', 'K 06940+.1', 'VAT 10481+.2']",snake
"""24.20""",If a snake is hanging from a falcon's mouth and falls from above – the man's house will be dispered;    he will leave his house.,If a snake is hanging from a falcon's mouth and falls from above,the man's house will be dispered;    he will leave his house.,"['K 02682+', 'K 02682+', 'VAT 10481+.2', 'VAT 10481+.2', 'VAT 10481+.2']",snake
"""24.21""","If a snake's eaten head: a bird carries <it>,  enters into a man's house; falls   – that house will be dispersed.","If a snake's eaten head: a bird carries <it>,  enters into a man's house; falls   ",that house will be dispersed.,"['K 02682+', 'K 02682+']",snake
"""24.22""",If a snake enters into a man's lap – he will have children; his days will become short.,If a snake enters into a man's lap,he will have children; his days will become short.,"['K 02682+', 'K 02682+', 'K 06940+.1']",snake
"""24.23""","If a snake: its head is in a hole, its tail  –  will see imprisonment.","If a snake: its head is in a hole, its tail  ",will see imprisonment.,"['CBS 04799', 'CBS 04799', 'CBS 04799', 'K 02682+', 'K 02682+', 'K 06940+.1', 'K 13981']",snake
"""24.25""",If a snake  into a potter's kiln –   that house will be dispersed.,If a snake  into a potter's kiln,that house will be dispersed.,"['CBS 04799', 'CBS 04799', 'K 02682+', 'K 02682+', 'K 13981']",snake
"""24.27""","If a snake, while all of them are at the assembly, falls and   – that house will be abandoned.","If a snake, while all of them are at the assembly, falls and   ",that house will be abandoned.,"['K 02682+', 'K 02682+', 'K 13981']",snake
"""24.17""",If a snake holds something in its mouth and enters a man’s house – his lost property will  .,If a snake holds something in its mouth and enters a man’s house,his lost property will  .,"['K 02682+', 'K 02682+', 'K 06940+.1', 'VAT 10481+.2', 'VAT 10481+.2']",snake
"""24.18""",If a snake holds a second snake in its mouth and enters a man’s house – income will enter the man’s house.,If a snake holds a second snake in its mouth and enters a man’s house,income will enter the man’s house.,"['K 02682+', 'K 06940+.1', 'VAT 10481+.2']",snake
"""24.19""","If a dead snake, of which half is eaten, is hangig from a falcon's mouth gloss: ditto = If a dead snake, of which half is eaten, a bird carries it in its mouth – the master of that house will die, that house will be dispersed; its sacking;  the palace will confiscate the estate of that house.","If a dead snake, of which half is eaten, is hangig from a falcon's mouth gloss: ditto = If a dead snake, of which half is eaten, a bird carries it in its mouth "," the master of that house will die, that house will be dispersed; its sacking;  the palace will confiscate the estate of that house.","['K 02682+', 'K 02682+', 'K 06940+.1', 'K 06940+.1', 'VAT 10481+.2']",dead
"""24.20""",If a snake is hanging from a falcon and falls from above – the man's house will be dispered;    he will leave his house.,If a snake is hanging from a falcon and falls from above,the man's house will be dispered;    he will leave his house.,"['K 02682+', 'K 02682+', 'VAT 10481+.2', 'VAT 10481+.2', 'VAT 10481+.2']",snake
"""24.21""","If a snake's eaten head is carried by a bird,  enters into a man's house; falls   – that house will be dispersed.","If a snake's eaten head is carried by a bird,  enters into a man's house; falls   ",that house will be dispersed.,"['K 02682+', 'K 02682+']",snake
"""24.22""",If a snake goes into a man's lap – he will have children; his days will become short.,If a snake goes into a man's lap,he will have children; his days will become short.,"['K 02682+', 'K 02682+', 'K 06940+.1']",snake
"""24.23""","If a snake's head is in a hole, its tail ..., its middle parts ... – that man will experience imprisonment.","If a snake's head is in a hole, its tail ..., its middle parts ... ",that man will experience imprisonment.,"['K 02682+', 'K 02682+', 'K 06940+.1', 'K 13981']",snake
"""24.24""","If a snake is double, they are joined together and its head  – there will be .","If a snake is double, they are joined together and its head  ",there will be .,"['K 02682+', 'K 02682+', 'K 13981', 'K 13981']",snake
"""24.25""",If a snake goes playfully into a potter's kiln –   that house will be dispersed.,If a snake goes playfully into a potter's kiln,that house will be dispersed.,"['K 02682+', 'K 02682+', 'K 13981']",snake
"""24.27""","If a snake, while all of them are at the assembly, falls and   – that house will be abandoned.","If a snake, while all of them are at the assembly, falls and   ",that house will be abandoned.,"['K 02682+', 'K 02682+', 'K 13981']",snake
"""24.1""",If a snake lies on a man’s bed – the man’s wife will turn away her face and give her children away for silver/her children will be given away for silver.,If a snake lies on a man’s bed,the man’s wife will turn away her face and give her children away for silver/her children will be given away for silver.,"['A 0453+', 'K 02010', 'K 02682+', 'K 02682+', 'VAT 10481+.2']",snake
"""24.2""",If a snake hangs down over a man’s bed – the same his wife will turn away her face and give her children away for silver.,If a snake hangs down over a man’s bed,the same his wife will turn away her face and give her children away for silver.,"['K 02682+', 'VAT 10481+.2']",snake
"""24.3""",If a snake lies down on a man's bed – his god will let that man acquire offspring.,If a snake lies down on a man's bed,his god will let that man acquire offspring.,"['K 02682+', 'VAT 10481+.2']",snake
"""24.4""",If a snake falls onto a man’s bed – an evil uprising will attack that man.,If a snake falls onto a man’s bed,an evil uprising will attack that man.,"['K 02682+', 'K 06940+', 'VAT 10481+.2']",snake
"""24.5""",If a snake falls onto a man and woman’s bed – husband and wife will leave each other.,If a snake falls onto a man and woman’s bed,husband and wife will leave each other.,"['K 02010', 'K 02682+', 'K 06940+', 'VAT 10481+.2', 'VAT 10481+.2']",snake
"""24.6""",If a snake drops its egg on a man’s bed – the master of that house will die ... god ...,If a snake drops its egg on a man’s bed,the master of that house will die ... god ...,"['K 02682+', 'K 02682+', 'K 06940+', 'VAT 10481+.2', 'VAT 10481+.2']",snake
"""24.7""",If a snake drops its ... on a bed or chair wherever a man happens to be sitting – ... the god will lead the man and  ...,If a snake drops its ... on a bed or chair wherever a man happens to be sitting,... the god will lead the man and  ...,"['K 02682+', 'K 02682+', 'VAT 10481+.2', 'VAT 10481+.2']",snake
"""24.9""","If a snake falls from above onto a man’s chair – he will be ill for one, two days, he will get ... and he will live.",If a snake falls from above onto a man’s chair," he will be ill for one, two days, he will get ... and he will live.","['K 02682+', 'K 06940+', 'VAT 10481+.2', 'VAT 10481+.2', 'VAT 10481+.2']",snake
"""24.10""","If a snake ... and the snake, which is winding on his head, ... falls – that man will die in the middle of that year.","If a snake ... and the snake, which is winding on his head, ... falls ",that man will die in the middle of that year.,"['K 02682+', 'K 02682+', 'VAT 10481+.2', 'VAT 10481+.2']",snake
"""24.11""",If a snake drops its egg on a man’s chair – the master of the house will die and that house will be dispersed.,If a snake drops its egg on a man’s chair,the master of the house will die and that house will be dispersed.,"['K 02682+', 'VAT 10481+.2', 'VAT 10481+.2']",snake
"""24.12""",If a snake cuts into a man’s extremities and enters a man’s house – the master of that house will die.,If a snake cuts into a man’s extremities and enters a man’s house,the master of that house will die.,"['K 02682+', 'VAT 10481+.2', 'VAT 10481+.2']",snake
"""24.13""",If a snake ... cuts into both feet and enters a man’s house – the master of the house will change residence.,If a snake ... cuts into both feet and enters a man’s house,the master of the house will change residence.,"['K 02682+', 'K 02682+', 'VAT 10481+.2']",snake
"""24.14""","If a snake goes out from a man’s house towards the gate – a rich man will become poor, a commoner will be well.",If a snake goes out from a man’s house towards the gate," a rich man will become poor, a commoner will be well.","['K 02682+', 'VAT 10481+.2']",snake
"""24.15""","If a snake takes something out from a man’s house towards the gate – loss will go out of the man’s house, a mortally ill person will die in the man’s house.",If a snake takes something out from a man’s house towards the gate," loss will go out of the man’s house, a mortally ill person will die in the man’s house.","['K 02682+', 'VAT 10481+.2']",snake
"""24.16""",If a snake takes something up from the door and enters a man’s house – income will enter the man’s house.,If a snake takes something up from the door and enters a man’s house,income will enter the man’s house.,"['K 02682+', 'VAT 10481+.2']",snake
"""24.1""",If a snake lies on a man’s bed – the man’s wife will turn away her face and give her children away for silver/her children will be given away for silver.,If a snake lies on a man’s bed,the man’s wife will turn away her face and give her children away for silver/her children will be given away for silver.,"['A 0453+', 'K 02010', 'K 02682+', 'K 02682+', 'VAT 10481+.2']",snake
"""24.2""",If a snake hangs down over a man’s bed – the same his wife will turn away her face and give her children away for silver.,If a snake hangs down over a man’s bed,the same his wife will turn away her face and give her children away for silver.,"['K 02682+', 'VAT 10481+.2']",snake
"""24.3""",If a snake lies down on a man's bed – his god will let that man acquire offspring.,If a snake lies down on a man's bed,his god will let that man acquire offspring.,"['K 02682+', 'VAT 10481+.2']",snake
"""24.4""",If a snake falls onto a man’s bed – an evil uprising will attack that man.,If a snake falls onto a man’s bed,an evil uprising will attack that man.,"['K 02682+', 'K 06940+', 'VAT 10481+.2']",snake
"""24.5""",If a snake falls onto a man and woman’s bed – husband and wife will leave each other.,If a snake falls onto a man and woman’s bed,husband and wife will leave each other.,"['K 02010', 'K 02682+', 'K 06940+', 'VAT 10481+.2', 'VAT 10481+.2']",snake
